# SHARED-REGISTRY-WRITES baseline — scripts/census_shared_registry_writes.py
#
# Every route whose reach includes a table with no tenant dimension, as
#     route<TAB>admission<TAB>tables<TAB>arm
#
# ⭐ THE SET, NOT THE COUNT. A count is not an identity: one route added and one
# removed holds the number while the population changes underneath it. The
# published figures — 42 site-global writers, 33 of them on identity alone — are
# re-derived FROM these rows, so the file and the number cannot disagree.
#
# ⛔ `arm` says WHICH instrument answered. `walk` is the precise call walk and
# is what the published 42 counts; `module-reach` is the sound
# over-approximation used only where the walk reached no write at all, and a row
# carrying it is a reach, not a statement the route issues.
#
# Recorded by `SIGNOFF-REPAIR.7.1.1.1`. Refresh only with an adjudication:
#     python3 -B scripts/census_shared_registry_writes.py --check
#
# ⭐ `site authority` JOINED THE VOCABULARY at `SIGNOFF-REPAIR.7.1.2.1`. All TEN
# routes reaching a site-authority response had been classified `identity only`
# — the weakest label — because every one reaches `resolve_principal` and none
# of the other needles. Eight are mutating and appear below. The published
# figures moved 42 → 41 and 33 → 32 for ONE reason: `POST /v1/workflow-profiles`
# was repaired and left both sets; the other seven were already `module-reach`,
# so they were never in the precise count, only mislabelled in this file.
#
# ⭐ `POST /v1/policies` took the SAME step at `SIGNOFF-REPAIR.6.1.5.4`, for the
# same reason and with the same two consequences in one change: the policy
# LIBRARY became a `policy_register` site act, so the route left `identity only`
# AND left the precise walk, because its handler now delegates across a module
# boundary. The published figures move 26/17 → 25/16 — one movement, one cause,
# and a defect population going DOWN because the defect was fixed.
POST /v1/admin/adapters	site authority	recruitment_offers,site_audit	module-reach
POST /v1/admin/adapters/{adapter_id}/revoke	site authority	recruitment_offers,site_audit	module-reach
POST /v1/admin/boundaries/{boundary_id}/revoke	guarded transaction	recruitment_offers	module-reach
POST /v1/admin/breakers	guarded transaction	recruitment_offers	module-reach
POST /v1/admin/breakers/reset	guarded transaction	recruitment_offers	module-reach
POST /v1/admin/grants/{grant_id}/revoke	guarded transaction	recruitment_offers	module-reach
POST /v1/admin/regions	site authority	recruitment_offers,site_audit	module-reach
POST /v1/admin/regions/{from}/pair/{to}	site authority	recruitment_offers,site_audit	module-reach
POST /v1/admin/regions/{from}/unpair/{to}	site authority	recruitment_offers,site_audit	module-reach
POST /v1/calls	pool authorize	recruitment_offers	walk
POST /v1/calls/{call_id}/close	pool tenant-admin	recruitment_panels	walk
POST /v1/calls/{call_id}/respond	identity only	recruitment_responses	walk
POST /v1/deployment-targets	identity only	deployment_targets	walk
POST /v1/deployments	identity only	deployment_assignments	walk
POST /v1/deployments/{target_id}/{publication_id}/receipt	identity only	deployment_assignments	walk
POST /v1/derivations	identity only	derivations	walk
POST /v1/evaluations/calibrations	identity only	evaluation_calibrations	walk
POST /v1/evaluations/corpora	identity only	evaluation_corpora	walk
POST /v1/evaluations/gates	identity only	evaluation_gates	walk
POST /v1/evaluations/gates/{gate_id}/evaluations	identity only	evaluation_gate_results	walk
POST /v1/evaluations/runs	identity only	evaluation_runs	walk
POST /v1/evaluations/trials	identity only	evaluation_trials	walk
POST /v1/evaluations/trials/{trial_id}/results	identity only	evaluation_trial_results	walk
POST /v1/federation-agreements	guarded transaction	recruitment_offers	module-reach
POST /v1/federation-agreements/accept	guarded transaction	recruitment_offers	module-reach
POST /v1/federation-agreements/revoke	guarded transaction	recruitment_offers	module-reach
POST /v1/nodes/ack	not-censused	node_certificates,node_events,node_keys,node_leases,node_proof_nonces	module-reach
POST /v1/nodes/enroll	not-censused	node_certificates,node_keys,node_leases	walk
POST /v1/nodes/enroll-tokens	guarded transaction	node_certificates,node_events,node_keys,node_leases,node_proof_nonces,recruitment_offers,server_ca	module-reach
POST /v1/nodes/events	not-censused	node_events,quota_events,resource_references	walk
POST /v1/nodes/handshake	not-censused	node_certificates,node_events,node_keys,node_leases,node_proof_nonces	module-reach
POST /v1/nodes/heartbeat	not-censused	node_certificates,node_events,node_keys,node_leases,node_proof_nonces	module-reach
POST /v1/nodes/inbox/prune	guarded transaction	recruitment_offers	module-reach
POST /v1/nodes/poll	not-censused	node_certificates,node_events,node_keys,node_leases,node_proof_nonces	module-reach
POST /v1/nodes/quarantine	guarded transaction	recruitment_offers	module-reach
POST /v1/nodes/replay	guarded transaction	recruitment_offers	module-reach
POST /v1/nodes/revoke	guarded transaction	recruitment_offers	module-reach
POST /v1/nodes/rotate	not-censused	node_certificates	walk
POST /v1/policies	site authority	policy_versions,recruitment_offers,site_audit	module-reach
POST /v1/policies/resolve	identity only	policy_versions,recruitment_offers	module-reach
POST /v1/profiles/cards/import	guarded transaction	recruitment_offers	module-reach
POST /v1/profiles/{role_id}/attest	guarded transaction	recruitment_offers	module-reach
POST /v1/resolvers	pool tenant-admin	resolver_capabilities	walk
POST /v1/resources	identity only	resource_references	walk
POST /v1/resources/{resource_id}/resolve	identity only	derivations,evidence_snapshots,quota_events,snapshot_objects	walk
POST /v1/snapshots	identity only	evidence_snapshots,snapshot_objects	walk
POST /v1/snapshots/expire-due	site authority	recruitment_offers,site_audit	module-reach
POST /v1/snapshots/{snapshot_id}/tombstone	site authority	recruitment_offers,site_audit	module-reach
POST /v1/threads	guarded transaction	quota_events,resource_references	walk
POST /v1/threads/auto	guarded transaction	quota_events,resource_references	walk
POST /v1/threads/{thread_id}/commands	guarded transaction	quota_events,resource_references	walk
POST /v1/workflow-profiles	site authority	recruitment_offers,site_audit,workflow_profiles	module-reach
PUT /v1/profiles/{role_id}	identity only	agent_profiles,profile_versions	walk
